plant,axis,metamer,hiddenzone_age,leaf_pseudo_age,internode_pseudo_age,leaf_is_growing,internode_is_growing,leaf_is_remobilizing,internode_is_remobilizing,leaf_pseudostem_length,internode_distance_to_emerge,leaf_L,internode_L,delta_leaf_pseudo_age,delta_internode_pseudo_age,delta_internode_distance_to_emerge,delta_internode_L,delta_leaf_L,delta_leaf_pseudostem_length,leaf_Lmax,leaf_Lmax_em,lamina_Lmax,sheath_Lmax,leaf_Wmax_int,leaf_Wmax,SSLW,LSSW,leaf_is_emerged,internode_Lmax,internode_Lmax_lig,LSIW,internode_is_visible,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,internode_enclosed_mstruct,mstruct,leaf_enclosed_Nstruct,internode_enclosed_Nstruct,Nstruct,mean_conc_sucrose,is_over,ratio_DZ
1,MS,3,3835440,1570000,864000,True,True,False,False,0.02895,0.0289,0.0925,0.00005,3600,3600,0,0,0,0,0.1228,0.1228,0.093426659,0.029373341,NA,0.004,22,0.09,True,NA,NA,1,False,1.21E+01,1.01E+00,6.03E+00,1.01E+01,2.05E-03,1.32E-06,2.05E-03,1.02E-05,6.62E-09,1.02E-05,1800,False,1.00E+00
1,MS,4,3287520,757000,0,True,True,False,False,0.02894,0.02893,0.0265,0.00001,3600,0,0,0,0,0,0.1331,0.1331,0.099106478,0.033993522,NA,NA,NA,NA,False,NA,NA,NA,False,2.92E+00,4.79E-01,3.50E+00,4.79E+00,4.96E-04,1.69E-07,4.96E-04,2.48E-06,8.44E-10,2.48E-06,1800,False,1.00E+00
1,MS,5,2739600,0,0,True,False,False,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,0.004780451,NA,NA,NA,False,NA,NA,NA,False,6.58E-02,2.11E-02,0.00E+00,2.11E-01,1.12E-05,0.00E+00,1.12E-05,5.59E-08,0.00E+00,5.59E-08,1800,False,1.00E+00
1,MS,6,2191680,0,0,True,False,False,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,6.42E-06,NA,NA,NA,False,NA,NA,NA,False,1.79E-02,5.76E-03,0.00E+00,5.76E-02,3.05E-06,0.00E+00,3.05E-06,1.52E-08,0.00E+00,1.52E-08,NA,False,1.00E+00
1,MS,7,1643760,0,0,True,False,False,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,2.33E-06,NA,NA,NA,False,NA,NA,NA,False,6.19E-03,1.99E-03,0.00E+00,1.99E-02,1.05E-06,0.00E+00,1.05E-06,5.27E-09,0.00E+00,5.27E-09,NA,False,1.00E+00
1,MS,8,1095840,0,0,True,False,False,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,9.17E-07,NA,NA,NA,False,NA,NA,NA,False,2.75E-03,8.82E-04,0.00E+00,8.82E-03,4.67E-07,0.00E+00,4.67E-07,2.33E-09,0.00E+00,2.33E-09,NA,False,1.00E+00
1,MS,9,547920,0,0,True,False,False,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,3.87E-07,NA,NA,NA,False,NA,NA,NA,False,1.05E-03,3.39E-04,0.00E+00,3.39E-03,1.79E-07,0.00E+00,1.79E-07,8.97E-10,0.00E+00,8.97E-10,NA,False,1.00E+00
1,MS,10,0,0,0,True,False,False,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,0.0000002,NA,NA,NA,False,NA,NA,NA,False,7.40E-04,2.38E-04,0.00E+00,2.38E-03,1.26E-07,0.00E+00,1.26E-07,6.29E-10,0.00E+00,6.29E-10,NA,False,1.00E+00
1,T1,1,3287520,757000,0,True,True,False,False,0.02894,0.02893,0.0265,0.00001,3600,0,0,0,0,0,0.1331,0.1331,0.099106478,0.033993522,NA,NA,NA,NA,False,NA,NA,NA,False,2.918527682,0.479263866,3.502233218,4.792638657,4.96E-04,1.69E-07,4.96E-04,2.48E-06,8.44E-10,2.48E-06,1800,False,1.00E+00
1,T1,2,2739600,0,0,True,False,False,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,0.004780451,NA,NA,NA,False,NA,NA,NA,False,0.065815234,0.021145753,0,2.11E-01,1.12E-05,0.00E+00,1.12E-05,5.59E-08,0.00E+00,5.59E-08,1800,False,1.00E+00
1,T1,3,2191680,0,0,True,False,False,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,6.42E-06,NA,NA,NA,False,NA,NA,NA,False,0.017912645,0.005755147,0,5.76E-02,3.05E-06,0.00E+00,3.05E-06,1.52E-08,0.00E+00,1.52E-08,NA,False,1.00E+00
1,T1,4,1643760,0,0,True,False,False,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,2.33E-06,NA,NA,NA,False,NA,NA,NA,False,0.006194272,0.001990156,0,1.99E-02,1.05E-06,0.00E+00,1.05E-06,5.27E-09,0.00E+00,5.27E-09,NA,False,1.00E+00
1,T1,5,1095840,0,0,True,False,False,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,9.17E-07,NA,NA,NA,False,NA,NA,NA,False,0.002745596,0.000882132,0,8.82E-03,4.67E-07,0.00E+00,4.67E-07,2.33E-09,0.00E+00,2.33E-09,NA,False,1.00E+00
1,T1,6,547920,0,0,True,False,False,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,3.87E-07,NA,NA,NA,False,NA,NA,NA,False,0.001054766,0.000338886,0,3.39E-03,1.79E-07,0.00E+00,1.79E-07,8.97E-10,0.00E+00,8.97E-10,NA,False,1.00E+00
1,T1,7,0,0,0,True,False,False,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,0.0000002,NA,NA,NA,False,NA,NA,NA,False,0.000740215,0.000237823,0,2.38E-03,1.26E-07,0.00E+00,1.26E-07,6.29E-10,0.00E+00,6.29E-10,NA,False,1.00E+00
1,T2,1,2739600,0,0,True,False,False,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,0.004780451,NA,NA,NA,False,NA,NA,NA,False,0.065815234,0.021145753,0,2.11E-01,1.12E-05,0.00E+00,1.12E-05,5.59E-08,0.00E+00,5.59E-08,1800,False,1.00E+00
1,T2,2,2191680,0,0,True,False,False,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,6.42E-06,NA,NA,NA,False,NA,NA,NA,False,0.017912645,0.005755147,0,5.76E-02,3.05E-06,0.00E+00,3.05E-06,1.52E-08,0.00E+00,1.52E-08,1800,False,1.00E+00
1,T2,3,1643760,0,0,True,False,False,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,2.33E-06,NA,NA,NA,False,NA,NA,NA,False,0.006194272,0.001990156,0,1.99E-02,1.05E-06,0.00E+00,1.05E-06,5.27E-09,0.00E+00,5.27E-09,NA,False,1.00E+00
1,T2,4,1095840,0,0,True,False,False,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,9.17E-07,NA,NA,NA,False,NA,NA,NA,False,0.002745596,0.000882132,0,8.82E-03,4.67E-07,0.00E+00,4.67E-07,2.33E-09,0.00E+00,2.33E-09,NA,False,1.00E+00
1,T2,5,547920,0,0,True,False,False,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,3.87E-07,NA,NA,NA,False,NA,NA,NA,False,0.001054766,0.000338886,0,3.39E-03,1.79E-07,0.00E+00,1.79E-07,8.97E-10,0.00E+00,8.97E-10,NA,False,1.00E+00
1,T2,6,0,0,0,True,False,False,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,0.0000002,NA,NA,NA,False,NA,NA,NA,False,0.000740215,0.000237823,0,2.38E-03,1.26E-07,0.00E+00,1.26E-07,6.29E-10,0.00E+00,6.29E-10,NA,False,1.00E+00
1,T3,1,2191680,0,0,True,False,False,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,6.42E-06,NA,NA,NA,False,NA,NA,NA,False,0.017912645,0.005755147,0,5.76E-02,3.05E-06,0.00E+00,3.05E-06,1.52E-08,0.00E+00,1.52E-08,NA,False,1.00E+00
1,T3,2,1643760,0,0,True,False,False,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,2.33E-06,NA,NA,NA,False,NA,NA,NA,False,0.006194272,0.001990156,0,1.99E-02,1.05E-06,0.00E+00,1.05E-06,5.27E-09,0.00E+00,5.27E-09,1800,False,1.00E+00
1,T3,3,1095840,0,0,True,False,False,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,9.17E-07,NA,NA,NA,False,NA,NA,NA,False,0.002745596,0.000882132,0,8.82E-03,4.67E-07,0.00E+00,4.67E-07,2.33E-09,0.00E+00,2.33E-09,1800,False,1.00E+00
1,T3,4,547920,0,0,True,False,False,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,3.87E-07,NA,NA,NA,False,NA,NA,NA,False,0.001054766,0.000338886,0,3.39E-03,1.79E-07,0.00E+00,1.79E-07,8.97E-10,0.00E+00,8.97E-10,NA,False,1.00E+00
1,T3,5,0,0,0,True,False,False,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,0.0000002,NA,NA,NA,False,NA,NA,NA,False,0.000740215,0.000237823,0,2.38E-03,1.26E-07,0.00E+00,1.26E-07,6.29E-10,0.00E+00,6.29E-10,NA,False,1.00E+00
1,T4,1,1643760,0,0,True,False,False,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,2.33E-06,NA,NA,NA,False,NA,NA,NA,False,0.006194272,0.001990156,0,1.99E-02,1.05E-06,0.00E+00,1.05E-06,5.27E-09,0.00E+00,5.27E-09,NA,False,1.00E+00
1,T4,2,1095840,0,0,True,False,False,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,9.17E-07,NA,NA,NA,False,NA,NA,NA,False,0.002745596,0.000882132,0,8.82E-03,4.67E-07,0.00E+00,4.67E-07,2.33E-09,0.00E+00,2.33E-09,NA,False,1.00E+00
1,T4,3,547920,0,0,True,False,False,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,3.87E-07,NA,NA,NA,False,NA,NA,NA,False,0.001054766,0.000338886,0,3.39E-03,1.79E-07,0.00E+00,1.79E-07,8.97E-10,0.00E+00,8.97E-10,NA,False,1.00E+00
1,T4,4,0,0,0,True,False,False,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,0.0000002,NA,NA,NA,False,NA,NA,NA,False,0.000740215,0.000237823,0,2.38E-03,1.26E-07,0.00E+00,1.26E-07,6.29E-10,0.00E+00,6.29E-10,1800,False,1.00E+00
